fanId,username,passwordHash,fullName,email,phone,fanType,status
FAN0001,namml1,hash_pass_namml1,Le Minh Nam,namml1@gmail.com,0902948884,VIP,ACTIVE
FAN0002,phuctt2,hash_pass_phuctt2,Tran Thanh Phuc,phuctt2@gmail.com,0929255519,STANDARD,ACTIVE
FAN0003,giangdl3,hash_pass_giangdl3,Le Duy Giang,giangdl3@gmail.com,0919572292,VIP,ACTIVE
FAN0004,quanvb4,hash_pass_quanvb4,Bui Van Quan,quanvb4@gmail.com,0981268743,SILVER,ACTIVE
FAN0005,huytb5,hash_pass_huytb5,Bui Tuan Huy,huytb5@gmail.com,0944462913,GOLD,ACTIVE
FAN0006,quannd6,hash_pass_quannd6,Do Ngoc Quan,quannd6@gmail.com,0980917387,STANDARD,ACTIVE
FAN0007,dungvh7,hash_pass_dungvh7,Ho Van Dung,dungvh7@gmail.com,0938291085,SILVER,ACTIVE
FAN0008,chauvn8,hash_pass_chauvn8,Ngo Van Chau,chauvn8@gmail.com,0961490713,VIP,ACTIVE
FAN0009,linhtn9,hash_pass_linhtn9,Ngo Thi Linh,linhtn9@gmail.com,0972412737,GOLD,ACTIVE
FAN0010,quantv10,hash_pass_quantv10,Vu Tuan Quan,quantv10@gmail.com,0967470157,VIP,ACTIVE
FAN0011,songt11,hash_pass_songt11,Tran Gia Son,songt11@gmail.com,0923764756,VIP,ACTIVE
FAN0012,binhth12,hash_pass_binhth12,Ho Thi Binh,binhth12@gmail.com,0932028261,GOLD,ACTIVE
FAN0013,emht13,hash_pass_emht13,Tran Hai Em,emht13@gmail.com,0971426601,SILVER,ACTIVE
FAN0014,dungdl14,hash_pass_dungdl14,Le Duy Dung,dungdl14@gmail.com,0967183775,VIP,ACTIVE
FAN0015,giangth15,hash_pass_giangth15,Ho Thanh Giang,giangth15@gmail.com,0936910429,VIP,ACTIVE
FAN0016,phucdp16,hash_pass_phucdp16,Phan Duy Phuc,phucdp16@gmail.com,0915090625,SILVER,ACTIVE
FAN0017,sonnn17,hash_pass_sonnn17,Nguyen Ngoc Son,sonnn17@gmail.com,0980257142,STANDARD,ACTIVE
FAN0018,quanxd18,hash_pass_quanxd18,Do Xuan Quan,quanxd18@gmail.com,0988500398,SILVER,ACTIVE
FAN0019,dungvp19,hash_pass_dungvp19,Pham Van Dung,dungvp19@gmail.com,0940513295,STANDARD,ACTIVE
FAN0020,hungxp20,hash_pass_hungxp20,Pham Xuan Hung,hungxp20@gmail.com,0944945476,GOLD,ACTIVE
FAN0021,namqv21,hash_pass_namqv21,Vu Quoc Nam,namqv21@gmail.com,0927010029,GOLD,ACTIVE
FAN0022,binhxd22,hash_pass_binhxd22,Dang Xuan Binh,binhxd22@gmail.com,0927545275,VIP,ACTIVE
FAN0023,sonql23,hash_pass_sonql23,Le Quoc Son,sonql23@gmail.com,0930324451,SILVER,ACTIVE
FAN0024,huynv24,hash_pass_huynv24,Vu Ngoc Huy,huynv24@gmail.com,0903930606,STANDARD,ACTIVE
FAN0025,tungvv25,hash_pass_tungvv25,Vu Van Tung,tungvv25@gmail.com,0926135323,STANDARD,ACTIVE
FAN0026,emnn26,hash_pass_emnn26,Nguyen Ngoc Em,emnn26@gmail.com,0948476433,SILVER,ACTIVE
FAN0027,emgh27,hash_pass_emgh27,Hoang Gia Em,emgh27@gmail.com,0959446672,SILVER,ACTIVE
FAN0028,chaudd28,hash_pass_chaudd28,Do Duy Chau,chaudd28@gmail.com,0999056433,VIP,ACTIVE
FAN0029,namtn29,hash_pass_namtn29,Ngo Thi Nam,namtn29@gmail.com,0978349904,VIP,ACTIVE
FAN0030,namtv30,hash_pass_namtv30,Vu Thanh Nam,namtv30@gmail.com,0970455741,VIP,ACTIVE
FAN0031,chautn31,hash_pass_chautn31,Ngo Thanh Chau,chautn31@gmail.com,0925945481,SILVER,ACTIVE
FAN0032,quanhb32,hash_pass_quanhb32,Bui Hai Quan,quanhb32@gmail.com,0907629441,SILVER,ACTIVE
FAN0033,emgn33,hash_pass_emgn33,Nguyen Gia Em,emgn33@gmail.com,0996018065,GOLD,ACTIVE
FAN0034,quanxl34,hash_pass_quanxl34,Le Xuan Quan,quanxl34@gmail.com,0987186291,VIP,ACTIVE
FAN0035,chauxl35,hash_pass_chauxl35,Le Xuan Chau,chauxl35@gmail.com,0902807006,SILVER,ACTIVE
FAN0036,giangvn36,hash_pass_giangvn36,Nguyen Van Giang,giangvn36@gmail.com,0922325342,VIP,ACTIVE
FAN0037,chaudt37,hash_pass_chaudt37,Tran Duy Chau,chaudt37@gmail.com,0907126774,VIP,ACTIVE
FAN0038,chauxn38,hash_pass_chauxn38,Nguyen Xuan Chau,chauxn38@gmail.com,0959920331,SILVER,ACTIVE
FAN0039,vietdd39,hash_pass_vietdd39,Do Duy Viet,vietdd39@gmail.com,0999601766,VIP,ACTIVE
FAN0040,khoahp40,hash_pass_khoahp40,Phan Hai Khoa,khoahp40@gmail.com,0945263374,VIP,ACTIVE
FAN0041,vietdb41,hash_pass_vietdb41,Bui Duc Viet,vietdb41@gmail.com,0942401269,SILVER,ACTIVE
FAN0042,antv42,hash_pass_antv42,Vu Tuan An,antv42@gmail.com,0919226780,SILVER,ACTIVE
FAN0043,emgt43,hash_pass_emgt43,Tran Gia Em,emgt43@gmail.com,0993482894,GOLD,ACTIVE
FAN0044,phuchn44,hash_pass_phuchn44,Ngo Hai Phuc,phuchn44@gmail.com,0960530323,GOLD,ACTIVE
FAN0045,emtp45,hash_pass_emtp45,Phan Tuan Em,emtp45@gmail.com,0963812673,STANDARD,ACTIVE
FAN0046,namth46,hash_pass_namth46,Hoang Thi Nam,namth46@gmail.com,0919595987,VIP,ACTIVE
FAN0047,linhnt47,hash_pass_linhnt47,Tran Ngoc Linh,linhnt47@gmail.com,0990356266,STANDARD,ACTIVE
FAN0048,vietdd48,hash_pass_vietdd48,Dang Duc Viet,vietdd48@gmail.com,0975705290,VIP,ACTIVE
FAN0049,huyhv49,hash_pass_huyhv49,Vu Hai Huy,huyhv49@gmail.com,0954405088,SILVER,ACTIVE
FAN0050,namht50,hash_pass_namht50,Tran Hai Nam,namht50@gmail.com,0977312675,GOLD,ACTIVE
FAN0051,dungtd51,hash_pass_dungtd51,Do Thanh Dung,dungtd51@gmail.com,0976252253,STANDARD,ACTIVE
FAN0052,sonmn52,hash_pass_sonmn52,Ngo Minh Son,sonmn52@gmail.com,0981177131,VIP,ACTIVE
FAN0053,binhvd53,hash_pass_binhvd53,Do Van Binh,binhvd53@gmail.com,0959241064,GOLD,ACTIVE
FAN0054,quanhp54,hash_pass_quanhp54,Phan Hai Quan,quanhp54@gmail.com,0955866206,VIP,ACTIVE
FAN0055,chauvn55,hash_pass_chauvn55,Nguyen Van Chau,chauvn55@gmail.com,0996996510,VIP,ACTIVE
FAN0056,quannv56,hash_pass_quannv56,Vu Ngoc Quan,quannv56@gmail.com,0916065842,GOLD,ACTIVE
